Price,Close,High,Low,Open,Volume
Ticker,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS
Date,,,,,
2000-01-03,13.939937591552734,13.939937591552734,13.611939372790562,13.611939372790562,332590
2000-01-04,14.251534461975098,15.042830986399727,14.021936507708894,14.92393271609134,1687100
2000-01-05,13.689837455749512,14.259734612254924,13.529938433595476,13.939936567946853,1598200
2000-01-06,13.800536155700684,13.939935574001444,13.55453791823753,13.775935706346909,850260
2000-01-07,13.80463981628418,14.021939944281621,13.296242880935122,13.296242880935122,851440
2000-01-10,13.60373592376709,14.718931161212506,13.529936146935055,14.177733840456582,1004340
2000-01-11,13.398738861083984,13.76773779949338,12.873940979131238,13.652937260866718,1457840
2000-01-12,13.566838264465332,13.771837330677247,13.308539003113067,13.42743883688048,859520
2000-01-13,13.538139343261719,13.931737198949778,13.529939192432527,13.931737198949778,482760
2000-01-14,13.566838264465332,13.775936623833234,13.44793843069792,13.775936623833234,581520
2000-01-17,14.653336524963379,14.653336524963379,14.108038161952841,14.267937211551711,1374040
2000-01-18,13.5873384475708,14.653334576516672,13.493039060705769,14.653334576516672,2556520
2000-01-19,14.67793083190918,14.67793083190918,14.103934462985166,14.103934462985166,3498180
2000-01-20,14.64513111114502,15.153527826482172,14.431931933609983,15.153527826482172,2690980
2000-01-21,15.428229331970215,15.743928064654172,14.112134208958214,14.431933798596546,4723290
2000-01-24,16.445018768310547,16.66231719115,15.825920959967696,16.301518540911296,4493660
2000-01-25,17.76112174987793,17.76112174987793,16.317927910302803,16.317927910302803,2902910
2000-01-26,17.76112174987793,17.76112174987793,17.76112174987793,17.76112174987793,0
2000-01-27,18.835309982299805,19.18380926558559,18.142413836124952,18.367912452357842,5635820
2000-01-28,18.687715530395508,19.10591224697827,18.367915925218618,18.859913994397967,4791650
2000-01-31,19.495410919189453,20.184207908028064,18.868114275933088,18.868114275933088,6373800
2000-02-01,19.757810592651367,20.007909718282967,19.269913349612224,19.35191329369094,3907790
2000-02-02,20.00790786743164,21.34040175238584,19.597909748984193,21.336302459369595,3438320
2000-02-03,18.527814865112305,20.49990642637647,18.408916596493565,20.007908359339684,2846870
2000-02-04,18.77381706237793,19.02391620275152,17.834920853572445,18.855817011290096,2657040
2000-02-07,20.229307174682617,20.278506510844423,18.85991340003255,19.26991151742456,3890350
2000-02-08,20.56140899658203,20.81150656827563,19.68811245037806,20.49990864503935,3052080
2000-02-09,20.70490074157715,21.401897713008175,20.180103757920087,20.909899758820487,3172330
2000-02-10,20.64340591430664,21.483903360294747,20.35640846486746,20.49990718958705,2100860
2000-02-11,19.0321102142334,21.237900333147333,18.99521188831408,20.9181023296981,2648230
2000-02-14,19.142810821533203,19.26991079621452,18.05221593264862,19.26991079621452,2525440
2000-02-15,18.663116455078125,19.269913544982547,18.458117374812353,19.187913600072466,1940870
2000-02-16,20.15960121154785,20.15960121154785,18.859908282788787,20.081702153426388,706000
2000-02-17,20.532705307006836,21.131302149137692,20.348205851824417,21.131302149137692,2341600
2000-02-18,19.893112182617188,20.745907596645228,19.597912988059537,20.581909260572395,1187770
2000-02-21,19.364206314086914,20.335901184423328,19.27810710517497,19.946404316292643,1104720
2000-02-22,17.839017868041992,19.6799101516454,17.818518274437775,19.35601125503507,1748060
2000-02-23,17.994815826416016,19.261709980498207,17.834916822389292,18.53191388457374,1345080
2000-02-24,18.613916397094727,18.859914658335054,17.67091941296293,18.203918252348313,878920
2000-02-25,18.613916397094727,19.187912861328424,18.203918252348313,18.85581536505586,1265320
2000-02-28,18.659011840820312,18.85991158719995,18.039915431234736,18.847612145346407,857210
2000-02-29,17.777517318725586,19.597908263613924,17.178920486525826,18.69591215859015,2586880
2000-03-01,19.200206756591797,19.200206756591797,17.87591186330215,17.87591186330215,320940
2000-03-02,20.737707138061523,20.737707138061523,20.499907460787355,20.499907460787355,399360
2000-03-03,22.3981990814209,22.3981990814209,22.3981990814209,22.3981990814209,642940
2000-03-06,21.81599998474121,24.189889517877027,20.90990449850387,24.185790224771054,2036410
2000-03-07,21.172306060791016,21.96770354207698,20.90990747216763,21.729903843625188,1624120
2000-03-08,22.307998657226562,22.86969566914708,21.48390308686197,21.7299013443986,2004770
2000-03-09,22.10710334777832,22.95990039904338,20.581911027660563,22.15220340237664,1339790
2000-03-10,20.840206146240234,21.565901475590408,20.34000791641085,21.422402752615803,1468330
2000-03-13,22.13580322265625,22.5089015173169,20.499909737440166,20.499909737440166,2079820
2000-03-14,21.762697219848633,22.959890773751088,20.991900448804685,22.59089190356557,1782020
2000-03-15,21.307605743408203,22.13990154161624,20.253910554419463,22.13990154161624,827860
2000-03-16,21.06980323791504,21.48390221695757,20.914003513640314,21.48390221695757,1324640
2000-03-17,21.06980323791504,21.06980323791504,21.06980323791504,21.06980323791504,0
2000-03-20,21.06980323791504,21.06980323791504,21.06980323791504,21.06980323791504,0
2000-03-21,20.975502014160156,21.319900468911,20.22930562286976,21.319900468911,1601110
2000-03-22,21.414201736450195,21.729900478250418,20.832005153610957,21.299402762711463,761300
2000-03-23,22.99269676208496,23.127995336879124,21.176404851472967,21.176404851472967,2538440
2000-03-24,22.418697357177734,22.775395284137076,21.688901203072277,22.55809678072786,1171540
2000-03-27,22.2793025970459,22.79589964891159,21.83240448953503,22.549901350693457,611310
2000-03-28,22.55809783935547,22.83689669953945,21.980000524801365,22.016900419943916,983640
2000-03-29,21.762697219848633,23.611787735066546,21.569997636083034,22.63189264692976,984800
2000-03-30,21.52899932861328,21.811899015770287,20.581904728009015,21.032902007914036,953680
2000-03-31,21.090303421020508,21.31990293879272,20.663906550898908,20.745904926371566,743600
2000-04-03,20.266206741333008,22.38589622337389,19.69220876062345,21.31580246799497,1685880
